Western Cactus,,
Inventory Availability,,
  ,,
Part,UOM,Available
10CL,ea,1094
10GLB,ea,23
11BELTS,ea,216
11BELTSW,ea,216
11TGTE,ea,88
11ULTB,ea,"4,500"
11ULTT,ea,0
12CGTE,ea,176
12CGTS,ea,176
12CGTSW,ea,176
12CL,ea,291
12COL,ea,196
12TSBG,ea,0
13 BELTS,ea,144
13 BELTSW,ea,144
14CL,ea,0
15CGTE,ea,132
15CGTS,ea,132
15CGTSW,ea,132
15STB,ea,0
2AMM,PK24,353
2AR,PK24,253.04
2BGL,PK24,0
2BM,PK24,410
2BOO,PK24,905.5
2BR,PK28,177.14
2CC,PK24,608.83
2CDYC,PK22,478.9
2CL,PK24,"2,123.64"
2DD,PK24,992
2DDCT,PK8,164
2EBRD,PK12,692
2FC,PK24,634
2FF,PK24,146.875
2FS,PK24,917
2GCP,PK24,291
2GFP,PK24,405
2GHL,PK15,410
2GL,PK90,0
2GSP,PK24,323
2HE,PK24,188
2HS,PK24,536
2HV,PK24,216
2JKL,PK15,0
2KOA,PK20,550.8
2KOK,PK24,524
2LB,PK24,21
2LF,PK28,"1,416.1"
2LG,PK24,0
2LLT,PK24,531
2LUH,PK24,143.5
2LUK,PK24,143.5
2LV,PK24,130
2MCP,PK24,719
2MV,PK24,509
2MY,PK24,558.58
2NF,PK24,303
2NP,PK28,99.12
2OAB,ea,"1,232"
2OAG,ea,"1,079"
2OAO,ea,978
2OAT,ea,96
2PM,PK24,"1,195"
2PP,PK16,161
2RAIN,PK24,347
2RCAT,PK16,335
2RGF,PK15,336
2RGN,PK18,418
2RVS,PK24,304
2RWP,PK20,746
2SAN,PK20,501.15
2SF,PK24,624.07
2SOP,PK24,"1,178"
2SP1,PK24,863.33
2SP3,PK24,715
2SP4,PK24,"1,241"
2SPC,PK15,991.4
2SR,PK28,550.3
2SSK,PK24,0
2STS,PK24,530
2SV1,PK24,"1,262"
2SV2,PK24,1
2SV3,PK24,"1,110.5"
2SV4,PK24,176
2SV5,PK24,9
2SV6,PK24,593
2SV7,PK16,798
2SV8,PK16,346
2TS,PK24,349
2UNI,PK16,175
2USA,PK24,530
2V9,PK24,569
2WGL,PK24,522.4
2WL,PK24,955
2XD,PK24,779.99
2XOXO,PK12,80
3GL,PK18,"1,204"
3SPG,ea,0
"4"" White Wave Collection",PK15,"2,396"
4AR,PK12,228.33
4BLM,PK15,894.78
4BM,PK12,143.66
4BR,PK15,10
4CANC,PK12,624
4CC,PK12,89.23
4CCH,PK15,118
4CL,PK15,"1,615.89"
4CT,ea,"22,440"
4CTR,PK12,504
4CTS,ea,"22,699"
4CTV,ea,"22,881"
4CTVS,ea,"32,113"
4CZ,PK15,104
4DC,PK15,689
4DD,PK15,6.38
4DS,PK15,"1,012.94"
4EB,PK15,73
4EZ,PK15,0
4FF,PK15,172
4FN,PK8,21
4FR,PK15,24.32
4FW,PK15,413
4GBW,PK15,516.6
4GD,PK15,286.22
4GF,PK15,155.53
4GFB,PK15,153.64
4GLB,ea,0
4GP,ea,0
4GPB,PK15,488
4GPS,PK15,128.86
4GSN,PK15,273.22
4HC,PK15,948.1
4HOR,PK12,"1,410"
4KOK,PK12,657.76
4LLT,PK15,187
4LR,PK15,427.14
4LUK,PK15,8.5
4LUM,PK15,752
4MB,ea,"6,537"
4MBK,PK15,620
4MTC,PK15,19
4MV,PK15,119.14
4MY,PK15,6
4ND,PK15,73
4NL,PK15,802.14
4NO,PK12,799.16
4NP,PK15,0
4PL,PK15,9
4PM,PK11,"1,218.18"
4POP,PK15,405
4RCL,PK15,7
4SB,PK15,31.32
4SF,PK15,278
4SHR,PK15,8.5
4SK,PK8,0
4SOP,PK15,0
4SP1,PK15,533
4SP4,PK12,226
4SPC,PK12,425.33
4SPG,ea,60
4SR,PK15,348
4ST,PK12,292
4SUP,PK15,379
4TS,PK12,268
4TT,PK15,0
4UL,PK12,28
4USA,PK15,404
4V1,PK15,896.66
4V3,PK15,419
4V4,PK15,299
4V5,PK15,481
4V6,PK15,0
4WA,PK12,"1,404"
4WB,ea,"1,986"
4WBT,ea,0
4WCL,PK15,0
4WL,PK15,406
4WRCL,PK15,"1,356"
4WT,PK15,"1,673"
4XD,PK15,749.33
5CL,ea,"40,714"
5GDAG,ea,264
5GDBG,ea,"1,023"
5GLB,ea,"12,948"
5MD,ea,"1,925"
5STB,ea,32
5VB,ea,"5,916"
6CL,ea,"9,745"
6CLD,ea,"7,938"
6GLB,ea,"5,844"
6GP,ea,0
6MOJ,PK7,"1,687"
6STB,PK6,"8,220"
7CL,ea,0
8CL,ea,724
8ED,ea,"8,200"
8GLB,ea,"1,844"
8GP,ea,0
8MP,ea,"3,137"
8TGTE,ea,252
8VD,ea,285
8WWB,ea,520
9CL,PK18,0
9CPB,ea,"1,958"
9CPG,ea,"1,958"
9CPT,ea,"1,958"
9SPGL,ea,0
BB,ea,"2,850"
BB2,ea,166
BLAB,ea,"1,517"
CPSOIL-70,PK70,0
FMR,ea,0
FMR-4SH,ea,0
GB,ea,0
GB2,ea,336
GB3,ea,972
GLCO,oz,0
GLGO,oz,0
GLRE,oz,0
GLSI,oz,0
GLUE,floz,0
GPSOIL-70,PK70,0
HBVDAY9924,ea,53
HCS,ea,0
HFS,ea,0
HLG,ea,80
HMR-4SH,ea,247
HMRS,ea,0
HMRT,ea,0
HSL,ea,0
HSS,ea,0
HWL,ea,0
HWR,ea,0
HWR-3SH,ea,0
HWR-4SH,ea,0
K6016405,PK15,0
MTLCO,floz,0
MTLGO,floz,0
MTLSI,floz,0
Pak Sense,ea,10
PB,ea,"1,250"
PSB,ea,136
RB,ea,"2,318"
RB2,ea,0
SCB,floz,0
SCBL,floz,0
SCDB,floz,0
SCG,floz,0
SCGD,floz,0
SCHR,floz,0
SCO,floz,0
SCPB,floz,0
SCPI,floz,0
SCPP,floz,0
SCPU,floz,0
SCR,floz,0
SCS,ea,10
SCW,floz,0
SCY,floz,0
SFS,ea,10
SLG,ea,320
SSL,ea,0
SSS,ea,10
STVDAY9924,ea,160
Succulent Cupcake Box,ea,0
SWL,ea,0
TCG,ea,"2,824"
TRG,ea,"15,563"
